geoid,name
42,Pennsylvania
06,California
54,West Virginia
49,Utah
36,New York
02,Alaska
12,Florida
45,South Carolina
38,North Dakota
23,Maine
13,Georgia
01,Alabama
33,New Hampshire
41,Oregon
56,Wyoming
04,Arizona
22,Louisiana
18,Indiana
16,Idaho
09,Connecticut
15,Hawaii
17,Illinois
25,Massachusetts
48,Texas
30,Montana
31,Nebraska
39,Ohio
08,Colorado
34,New Jersey
24,Maryland
51,Virginia
50,Vermont
37,North Carolina
05,Arkansas
53,Washington
20,Kansas
40,Oklahoma
55,Wisconsin
28,Mississippi
29,Missouri
26,Michigan
44,Rhode Island
27,Minnesota
19,Iowa
35,New Mexico
32,Nevada
10,Delaware
72,Puerto Rico
21,Kentucky
46,South Dakota
47,Tennessee
