school,year,masters
WEINBERG ARTS AND SCIENCES,2012-13,144
WEINBERG ARTS AND SCIENCES,2013-14,160
WEINBERG ARTS AND SCIENCES,2014-15,134
WEINBERG ARTS AND SCIENCES,2015-16,122
WEINBERG ARTS AND SCIENCES,2016-17,134
WEINBERG ARTS AND SCIENCES,2017-18,139
WEINBERG ARTS AND SCIENCES,2018-19,166
WEINBERG ARTS AND SCIENCES,2019-20,155
WEINBERG ARTS AND SCIENCES,2020-21,184
WEINBERG ARTS AND SCIENCES,2021-22,179
COMMUNICATION,2012-13,160
COMMUNICATION,2013-14,169
COMMUNICATION,2014-15,164
COMMUNICATION,2015-16,207
COMMUNICATION,2016-17,303
COMMUNICATION,2017-18,302
COMMUNICATION,2018-19,299
COMMUNICATION,2019-20,295
COMMUNICATION,2020-21,292
COMMUNICATION,2021-22,329
CONTINUING STUDIES,2012-13,332
CONTINUING STUDIES,2013-14,469
CONTINUING STUDIES,2014-15,569
CONTINUING STUDIES,2015-16,680
CONTINUING STUDIES,2016-17,641
CONTINUING STUDIES,2017-18,586
CONTINUING STUDIES,2018-19,576
CONTINUING STUDIES,2019-20,540
CONTINUING STUDIES,2020-21,517
CONTINUING STUDIES,2021-22,580
EDUCATION & SOCIAL POLICY,2012-13,94
EDUCATION & SOCIAL POLICY,2013-14,133
EDUCATION & SOCIAL POLICY,2014-15,133
EDUCATION & SOCIAL POLICY,2015-16,134
EDUCATION & SOCIAL POLICY,2016-17,111
EDUCATION & SOCIAL POLICY,2017-18,107
EDUCATION & SOCIAL POLICY,2018-19,110
EDUCATION & SOCIAL POLICY,2019-20,119
EDUCATION & SOCIAL POLICY,2020-21,99
EDUCATION & SOCIAL POLICY,2021-22,122
MCCORMICK ENGINEERING,2012-13,384
MCCORMICK ENGINEERING,2013-14,452
MCCORMICK ENGINEERING,2014-15,517
MCCORMICK ENGINEERING,2015-16,529
MCCORMICK ENGINEERING,2016-17,598
MCCORMICK ENGINEERING,2017-18,686
MCCORMICK ENGINEERING,2018-19,621
MCCORMICK ENGINEERING,2019-20,652
MCCORMICK ENGINEERING,2020-21,683
MCCORMICK ENGINEERING,2021-22,606
MEDILL JOURNALISM,2012-13,257
MEDILL JOURNALISM,2013-14,258
MEDILL JOURNALISM,2014-15,279
MEDILL JOURNALISM,2015-16,316
MEDILL JOURNALISM,2016-17,322
MEDILL JOURNALISM,2017-18,337
MEDILL JOURNALISM,2018-19,341
MEDILL JOURNALISM,2019-20,311
MEDILL JOURNALISM,2020-21,249
MEDILL JOURNALISM,2021-22,292
LAW,2012-13,264
LAW,2013-14,265
LAW,2014-15,315
LAW,2015-16,345
LAW,2016-17,341
LAW,2017-18,365
LAW,2018-19,371
LAW,2019-20,380
LAW,2020-21,205
LAW,2021-22,424
KELLOGG MANAGEMENT,2012-13,1403
KELLOGG MANAGEMENT,2013-14,1450
KELLOGG MANAGEMENT,2014-15,1383
KELLOGG MANAGEMENT,2015-16,1396
KELLOGG MANAGEMENT,2016-17,1481
KELLOGG MANAGEMENT,2017-18,1498
KELLOGG MANAGEMENT,2018-19,1531
KELLOGG MANAGEMENT,2019-20,1380
KELLOGG MANAGEMENT,2020-21,1543
KELLOGG MANAGEMENT,2021-22,1727
FEINBERG MEDICINE,2012-13,92
FEINBERG MEDICINE,2013-14,90
FEINBERG MEDICINE,2014-15,105
FEINBERG MEDICINE,2015-16,90
FEINBERG MEDICINE,2016-17,86
FEINBERG MEDICINE,2017-18,115
FEINBERG MEDICINE,2018-19,139
FEINBERG MEDICINE,2019-20,156
FEINBERG MEDICINE,2020-21,145
FEINBERG MEDICINE,2021-22,163
BIENEN MUSIC,2012-13,80
BIENEN MUSIC,2013-14,86
BIENEN MUSIC,2014-15,95
BIENEN MUSIC,2015-16,73
BIENEN MUSIC,2016-17,74
BIENEN MUSIC,2017-18,73
BIENEN MUSIC,2018-19,66
BIENEN MUSIC,2019-20,59
BIENEN MUSIC,2020-21,59
BIENEN MUSIC,2021-22,68
OTHER,2012-13,72
OTHER,2013-14,80
OTHER,2014-15,133
OTHER,2015-16,130
OTHER,2016-17,176
OTHER,2017-18,210
OTHER,2018-19,218
OTHER,2019-20,278
OTHER,2020-21,368
OTHER,2021-22,408
TGS,2012-13,621
TGS,2013-14,684
TGS,2014-15,689
TGS,2015-16,690
TGS,2016-17,691
TGS,2017-18,716
TGS,2018-19,701
TGS,2019-20,732
TGS,2020-21,959
TGS,2021-22,959
